Geneid, SR10,SR09,SR18,SR13,SR16,SR07,SR17,SR14,SR15,SR12
100287102,0,0,0,0,0,0,0,0,0,0
653635,27,42,56,35,27,19,65,14,17,16
102466751,4,1,3,7,5,1,2,3,2,3
100302278,0,0,0,0,0,0,0,0,0,0
645520,0,0,0,0,1,0,0,0,0,0
79501,0,0,0,0,0,0,0,0,0,0
729737,2,60,18,106,6,8,25,27,7,7
102725121,1,1,0,2,0,2,0,1,3,0
102723897,40,23,63,45,21,17,82,18,21,19
102465909,0,0,0,0,0,0,0,0,0,0
729759,0,0,0,0,0,0,0,0,0,0
100132287,3,0,2,1,1,2,0,0,1,1
105378947,2,2,1,0,0,0,0,2,1,1
101928626,8,0,3,1,2,3,1,3,4,6
102465432,20,4,23,584,4,24,10,13,146,22
81399,0,0,1,0,0,0,0,0,0,0
100133331,21,5,16,12,13,19,32,20,5,10
100288069,4,2,3,1,2,4,14,6,0,2
400728,7,2,4,12,7,3,8,15,6,7
79854,6,7,9,13,9,6,26,2,3,4
643837,249,220,242,289,790,78,206,157,180,141
284593,0,0,0,0,0,0,2,0,0,0
100130417,146,1,36,36,13,10,161,141,45,204
148398,1729,35,905,745,98,146,848,1496,650,623
26155,1142,770,1397,1171,649,449,1513,1009,656,463
339451,226,61,137,139,55,62,498,108,60,73
84069,12,32,10,7,1,11,46,5,4,1
84808,5,12,10,2,1,11,84,4,2,1
57801,44,11,14,15,9,20,112,13,20,4
9636,1815,2036,2311,1437,94,314,729,2799,449,149
375790,2320,3452,10518,5162,1323,2682,5278,4821,2006,1000
105369174,0,1,1,0,0,1,3,0,0,0
105378948,1,0,2,3,0,5,4,0,0,1
401934,0,0,0,0,0,0,1,0,0,0
54991,263,170,347,234,142,110,244,155,126,116
254099,0,0,0,0,0,0,1,0,0,0
406984,0,0,0,0,0,0,0,0,0,0
406983,0,0,0,0,0,0,0,0,0,0
554210,0,0,1,0,0,0,0,0,0,0
254173,3,1,0,1,0,2,0,3,3,0
8784,38,16,80,25,2,5,4,25,82,13
7293,126,67,116,40,9,160,112,32,62,26
51150,4014,2650,5491,3118,2299,1377,3355,4116,2883,1527
126792,636,282,548,470,261,257,965,553,439,233
388581,1,2,2,8,2,40,16,3,7,1
118424,826,583,972,748,528,410,986,879,637,350
6339,173,10,54,71,27,126,115,33,35,34
116983,1514,510,1314,1274,358,586,649,901,693,379
102465434,0,0,0,0,0,0,0,0,0,0
126789,179,90,175,134,59,62,158,175,133,62
54973,1172,483,1333,1322,615,562,1229,848,589,467
102465435,1,0,0,0,1,0,0,0,1,0
80772,361,267,463,364,228,149,430,428,259,136
83756,15,2,4,5,0,6,9,8,4,1
1855,1027,452,1030,909,501,509,854,1007,694,308
102466740,0,0,0,0,0,0,0,0,0,0
54587,9782,817,477,2784,213,349,139,6979,5785,374
54998,1175,877,1208,1100,671,632,1342,1042,836,693
81669,1550,681,3110,3333,853,1210,3544,1522,819,685
148413,309,275,294,266,232,145,307,266,222,104
